Popolazione residente per età, sesso e stato civile al 1° gennaio 2025;;;;;;;;;;;;;;;;;;;
Codice comune;Comune;Età;Celibi;Coniugati;Divorziati;Vedovi;Uniti civilmente;Maschi già in unione civile (per scioglimento unione);Maschi già in unione civile (per decesso del partner);Totale maschi;Nubili;Coniugate;Divorziate;Vedove;Unite civilmente;Femmine già in unione civile (per scioglimento unione);Femmine già in unione civile (per decesso del partner);Totale femmine;Totale
56001;Acquapendente;0;12;0;0;0;;;;12;17;0;0;0;;;;17;29
56001;Acquapendente;1;19;0;0;0;;;;19;10;0;0;0;;;;10;29
56001;Acquapendente;2;10;0;0;0;;;;10;15;0;0;0;;;;15;25
56001;Acquapendente;3;12;0;0;0;;;;12;16;0;0;0;;;;16;28
56001;Acquapendente;4;15;0;0;0;;;;15;11;0;0;0;;;;11;26
56001;Acquapendente;5;20;0;0;0;;;;20;18;0;0;0;;;;18;38
56001;Acquapendente;6;25;0;0;0;;;;25;18;0;0;0;;;;18;43
56001;Acquapendente;7;22;0;0;0;;;;22;20;0;0;0;;;;20;42
56001;Acquapendente;8;17;0;0;0;;;;17;15;0;0;0;;;;15;32
56001;Acquapendente;9;10;0;0;0;;;;10;19;0;0;0;;;;19;29
56001;Acquapendente;10;20;0;0;0;;;;20;21;0;0;0;;;;21;41
56001;Acquapendente;11;31;0;0;0;;;;31;17;0;0;0;;;;17;48
56001;Acquapendente;12;8;0;0;0;;;;8;21;0;0;0;;;;21;29
56001;Acquapendente;13;27;0;0;0;;;;27;18;0;0;0;;;;18;45
56001;Acquapendente;14;19;0;0;0;;;;19;19;0;0;0;;;;19;38
56001;Acquapendente;15;21;0;0;0;;;;21;12;0;0;0;;;;12;33
56001;Acquapendente;16;19;0;0;0;;;;19;20;0;0;0;;;;20;39
56001;Acquapendente;17;16;0;0;0;;;;16;22;0;0;0;;;;22;38
56001;Acquapendente;18;29;0;0;0;;;;29;20;0;0;0;;;;20;49
56001;Acquapendente;19;22;0;0;0;;;;22;18;0;0;0;;;;18;40
56001;Acquapendente;20;24;0;0;0;;;;24;26;0;0;0;;;;26;50
56001;Acquapendente;21;19;0;0;0;;;;19;11;1;0;0;;;;12;31
56001;Acquapendente;22;29;0;0;0;;;;29;25;0;0;0;;;;25;54
56001;Acquapendente;23;32;0;0;0;;;;32;25;0;0;0;;;;25;57
56001;Acquapendente;24;24;0;0;0;;;;24;19;3;0;0;;;;22;46
56001;Acquapendente;25;33;0;0;0;;;;33;19;2;0;0;;;;21;54
56001;Acquapendente;26;25;0;0;0;;;;25;20;3;0;0;;;;23;48
56001;Acquapendente;27;28;3;0;0;;;;31;22;0;1;0;;;;23;54
56001;Acquapendente;28;26;1;0;0;;;;27;12;4;0;0;;;;16;43
56001;Acquapendente;29;27;0;0;0;;;;27;20;2;0;0;;;;22;49
56001;Acquapendente;30;32;1;0;0;;;;33;19;5;0;0;;;;24;57
56001;Acquapendente;31;31;5;0;0;;;;36;19;5;0;0;;;;24;60
56001;Acquapendente;32;24;4;0;0;;;;28;12;12;0;0;;;;24;52
56001;Acquapendente;33;27;2;1;0;;;;30;17;8;0;0;;;;25;55
56001;Acquapendente;34;21;5;0;0;;;;26;18;5;0;0;;;;23;49
56001;Acquapendente;35;20;7;1;0;;;;28;11;8;0;0;;;;19;47
56001;Acquapendente;36;30;6;0;0;;;;36;15;12;3;0;;;;30;66
56001;Acquapendente;37;21;8;0;0;;;;29;16;10;2;0;;;;28;57
56001;Acquapendente;38;18;11;0;0;;;;29;11;14;0;0;;;;25;54
56001;Acquapendente;39;12;9;0;0;;;;21;12;16;0;0;;;;28;49
56001;Acquapendente;40;26;11;0;0;;;;37;14;15;1;0;;;;30;67
56001;Acquapendente;41;21;10;0;0;;;;31;12;16;0;0;;;;28;59
56001;Acquapendente;42;24;20;1;0;;;;45;13;15;1;0;;;;29;74
56001;Acquapendente;43;15;15;2;2;;;;34;13;16;3;0;;;;32;66
56001;Acquapendente;44;26;17;2;0;;;;45;6;21;1;1;;;;29;74
56001;Acquapendente;45;12;14;2;0;;;;28;8;16;0;0;;;;24;52
56001;Acquapendente;46;11;17;2;0;;;;30;11;14;3;0;;;;28;58
56001;Acquapendente;47;13;16;2;0;;;;31;9;16;3;0;;;;28;59
56001;Acquapendente;48;20;26;2;0;;;;48;10;15;6;0;;;;31;79
56001;Acquapendente;49;15;23;3;0;;;;41;15;14;3;0;;;;32;73
56001;Acquapendente;50;16;22;0;0;;;;38;7;27;4;0;;;;38;76
56001;Acquapendente;51;16;18;0;0;;;;34;8;31;7;1;;;;47;81
56001;Acquapendente;52;13;25;3;0;;;;41;6;37;5;1;;;;49;90
56001;Acquapendente;53;8;33;5;1;;;;47;5;29;2;1;;;;37;84
56001;Acquapendente;54;11;29;1;1;;;;42;6;25;3;3;;;;37;79
56001;Acquapendente;55;11;24;3;1;;;;39;6;28;5;0;;;;39;78
56001;Acquapendente;56;8;25;0;0;;;;33;5;38;4;1;;;;48;81
56001;Acquapendente;57;9;26;3;1;;;;39;6;35;2;4;;;;47;86
56001;Acquapendente;58;7;30;1;0;;;;38;6;35;4;1;;;;46;84
56001;Acquapendente;59;8;27;4;1;;;;40;5;29;3;3;;;;40;80
56001;Acquapendente;60;12;44;6;0;;;;62;3;21;3;3;;;;30;92
56001;Acquapendente;61;12;36;3;0;;;;51;2;33;1;6;;;;42;93
56001;Acquapendente;62;11;28;1;0;;;;40;3;46;3;6;;;;58;98
56001;Acquapendente;63;0;36;3;0;;;;39;5;30;5;2;;;;42;81
56001;Acquapendente;64;4;29;1;0;;;;34;6;16;5;3;;;;30;64
56001;Acquapendente;65;3;28;2;0;;;;33;4;23;3;4;;;;34;67
56001;Acquapendente;66;4;33;2;0;;;;39;3;25;2;3;;;;33;72
56001;Acquapendente;67;3;30;1;2;;;;36;1;33;4;10;;;;48;84
56001;Acquapendente;68;3;37;1;0;;;;41;2;31;3;4;;;;40;81
56001;Acquapendente;69;7;25;2;1;;;;35;3;17;2;6;;;;28;63
56001;Acquapendente;70;3;23;4;3;;;;33;3;27;2;8;;;;40;73
56001;Acquapendente;71;7;27;0;4;;;;38;1;31;2;12;;;;46;84
56001;Acquapendente;72;3;19;0;1;;;;23;1;27;3;9;;;;40;63
56001;Acquapendente;73;5;22;0;3;;;;30;3;25;2;8;;;;38;68
56001;Acquapendente;74;4;28;0;5;;;;37;2;25;1;8;;;;36;73
56001;Acquapendente;75;4;39;2;2;;;;47;3;30;0;16;;;;49;96
56001;Acquapendente;76;4;36;1;3;;;;44;2;20;1;9;;;;32;76
56001;Acquapendente;77;1;15;1;6;;;;23;0;16;0;13;;;;29;52
56001;Acquapendente;78;1;31;0;8;;;;40;0;8;1;16;;;;25;65
56001;Acquapendente;79;1;21;0;1;;;;23;0;12;0;9;;;;21;44
56001;Acquapendente;80;1;12;0;3;;;;16;0;13;0;15;;;;28;44
56001;Acquapendente;81;1;8;2;3;;;;14;1;9;0;19;;;;29;43
56001;Acquapendente;82;0;9;0;1;;;;10;0;9;2;9;;;;20;30
56001;Acquapendente;83;0;20;1;3;;;;24;0;3;0;14;;;;17;41
56001;Acquapendente;84;1;13;0;5;;;;19;1;4;0;23;;;;28;47
56001;Acquapendente;85;4;15;0;3;;;;22;0;7;0;21;;;;28;50
56001;Acquapendente;86;1;6;0;4;;;;11;1;6;0;23;;;;30;41
56001;Acquapendente;87;1;2;0;1;;;;4;1;3;0;28;;;;32;36
56001;Acquapendente;88;1;4;0;3;;;;8;3;2;0;21;;;;26;34
56001;Acquapendente;89;1;7;0;2;;;;10;1;0;0;21;;;;22;32
56001;Acquapendente;90;0;4;0;1;;;;5;0;1;1;12;;;;14;19
56001;Acquapendente;91;0;3;0;5;;;;8;0;2;0;9;;;;11;19
56001;Acquapendente;92;0;2;0;3;;;;5;0;1;0;7;;;;8;13
56001;Acquapendente;93;1;0;0;0;;;;1;0;1;0;10;;;;11;12
56001;Acquapendente;94;0;1;0;0;;;;1;1;0;0;11;;;;12;13
56001;Acquapendente;95;0;0;0;1;;;;1;0;1;0;7;;;;8;9
56001;Acquapendente;96;0;0;0;0;;;;0;0;0;0;5;;;;5;5
56001;Acquapendente;97;0;0;0;1;;;;1;0;0;0;4;;;;4;5
56001;Acquapendente;98;0;0;0;0;;;;0;0;0;0;4;;;;4;4
56001;Acquapendente;99;0;0;0;1;;;;1;0;0;0;2;;;;2;3
56001;Acquapendente;100;0;0;0;0;;;;0;0;0;0;3;;;;3;3
56001;Acquapendente;999;1271;1183;71;86;;;;2611;923;1140;112;439;;;;2614;5225
56002;Arlena di Castro;0;0;0;0;0;;;;0;3;0;0;0;;;;3;3
56002;Arlena di Castro;1;2;0;0;0;;;;2;1;0;0;0;;;;1;3
56002;Arlena di Castro;2;1;0;0;0;;;;1;3;0;0;0;;;;3;4
56002;Arlena di Castro;3;5;0;0;0;;;;5;3;0;0;0;;;;3;8
56002;Arlena di Castro;4;1;0;0;0;;;;1;2;0;0;0;;;;2;3
56002;Arlena di Castro;5;0;0;0;0;;;;0;4;0;0;0;;;;4;4
56002;Arlena di Castro;6;1;0;0;0;;;;1;3;0;0;0;;;;3;4
56002;Arlena di Castro;7;2;0;0;0;;;;2;3;0;0;0;;;;3;5
56002;Arlena di Castro;8;6;0;0;0;;;;6;2;0;0;0;;;;2;8
56002;Arlena di Castro;9;1;0;0;0;;;;1;2;0;0;0;;;;2;3
