Popolazione residente per età, sesso e stato civile al 1° gennaio 2025;;;;;;;;;;;;;;;;;;;
Codice comune;Comune;Età;Celibi;Coniugati;Divorziati;Vedovi;Uniti civilmente;Maschi già in unione civile (per scioglimento unione);Maschi già in unione civile (per decesso del partner);Totale maschi;Nubili;Coniugate;Divorziate;Vedove;Unite civilmente;Femmine già in unione civile (per scioglimento unione);Femmine già in unione civile (per decesso del partner);Totale femmine;Totale
57001;Accumoli;0;0;0;0;0;;;;0;0;0;0;0;;;;0;0
57001;Accumoli;1;0;0;0;0;;;;0;1;0;0;0;;;;1;1
57001;Accumoli;2;1;0;0;0;;;;1;1;0;0;0;;;;1;2
57001;Accumoli;3;1;0;0;0;;;;1;0;0;0;0;;;;0;1
57001;Accumoli;4;1;0;0;0;;;;1;0;0;0;0;;;;0;1
57001;Accumoli;5;1;0;0;0;;;;1;1;0;0;0;;;;1;2
57001;Accumoli;6;2;0;0;0;;;;2;1;0;0;0;;;;1;3
57001;Accumoli;7;0;0;0;0;;;;0;0;0;0;0;;;;0;0
57001;Accumoli;8;1;0;0;0;;;;1;0;0;0;0;;;;0;1
57001;Accumoli;9;1;0;0;0;;;;1;0;0;0;0;;;;0;1
57001;Accumoli;10;1;0;0;0;;;;1;1;0;0;0;;;;1;2
57001;Accumoli;11;3;0;0;0;;;;3;0;0;0;0;;;;0;3
57001;Accumoli;12;3;0;0;0;;;;3;1;0;0;0;;;;1;4
57001;Accumoli;13;3;0;0;0;;;;3;4;0;0;0;;;;4;7
57001;Accumoli;14;0;0;0;0;;;;0;1;0;0;0;;;;1;1
57001;Accumoli;15;3;0;0;0;;;;3;2;0;0;0;;;;2;5
57001;Accumoli;16;3;0;0;0;;;;3;1;0;0;0;;;;1;4
57001;Accumoli;17;3;0;0;0;;;;3;1;0;0;0;;;;1;4
57001;Accumoli;18;3;0;0;0;;;;3;1;0;0;0;;;;1;4
57001;Accumoli;19;3;0;0;0;;;;3;1;0;0;0;;;;1;4
57001;Accumoli;20;0;0;0;0;;;;0;3;0;0;0;;;;3;3
57001;Accumoli;21;5;0;0;0;;;;5;2;0;0;0;;;;2;7
57001;Accumoli;22;1;0;0;0;;;;1;3;0;0;0;;;;3;4
57001;Accumoli;23;3;0;0;0;;;;3;3;0;0;0;;;;3;6
57001;Accumoli;24;6;0;0;0;;;;6;2;0;0;0;;;;2;8
57001;Accumoli;25;1;0;0;0;;;;1;4;0;0;0;;;;4;5
57001;Accumoli;26;1;0;0;0;;;;1;2;0;0;0;;;;2;3
57001;Accumoli;27;4;0;0;0;;;;4;3;0;0;0;;;;3;7
57001;Accumoli;28;3;0;0;0;;;;3;3;0;0;0;;;;3;6
57001;Accumoli;29;3;0;0;0;;;;3;0;0;0;0;;;;0;3
57001;Accumoli;30;3;0;0;0;;;;3;1;0;0;0;;;;1;4
57001;Accumoli;31;1;0;0;0;;;;1;3;0;0;0;;;;3;4
57001;Accumoli;32;2;0;0;0;;;;2;1;0;0;0;;;;1;3
57001;Accumoli;33;3;2;0;0;;;;5;1;1;0;0;;;;2;7
57001;Accumoli;34;2;0;0;0;;;;2;1;0;0;0;;;;1;3
57001;Accumoli;35;3;1;0;0;;;;4;1;0;0;0;;;;1;5
57001;Accumoli;36;2;0;0;0;;;;2;2;0;0;0;;;;2;4
57001;Accumoli;37;2;0;0;0;;;;2;1;1;0;0;;;;2;4
57001;Accumoli;38;0;1;0;0;;;;1;4;0;0;0;;;;4;5
57001;Accumoli;39;2;0;0;0;;;;2;1;2;0;0;;;;3;5
57001;Accumoli;40;1;2;0;0;;;;3;0;1;0;0;;;;1;4
57001;Accumoli;41;3;0;0;0;;;;3;0;3;0;0;;;;3;6
57001;Accumoli;42;4;1;0;0;;;;5;2;1;0;1;;;;4;9
57001;Accumoli;43;0;1;0;0;;;;1;0;1;1;0;;;;2;3
57001;Accumoli;44;2;0;0;0;;;;2;0;0;1;0;;;;1;3
57001;Accumoli;45;1;2;0;0;;;;3;1;0;0;0;;;;1;4
57001;Accumoli;46;2;1;1;0;;;;4;1;2;0;0;;;;3;7
57001;Accumoli;47;1;2;0;0;;;;3;3;1;1;0;;;;5;8
57001;Accumoli;48;3;0;0;0;;;;3;0;3;0;0;;;;3;6
57001;Accumoli;49;1;2;0;0;;;;3;1;3;0;0;;;;4;7
57001;Accumoli;50;1;2;0;0;;;;3;0;5;1;0;;;;6;9
57001;Accumoli;51;2;2;0;0;;;;4;2;4;0;0;;;;6;10
57001;Accumoli;52;2;3;0;0;;;;5;2;1;0;0;;;;3;8
57001;Accumoli;53;1;1;0;0;;;;2;1;2;0;0;;;;3;5
57001;Accumoli;54;3;7;1;0;;;;11;0;3;1;1;;;;5;16
57001;Accumoli;55;3;1;1;0;;;;5;1;4;1;0;;;;6;11
57001;Accumoli;56;1;2;0;0;;;;3;1;3;0;0;;;;4;7
57001;Accumoli;57;1;3;2;0;;;;6;3;5;0;0;;;;8;14
57001;Accumoli;58;1;2;0;0;;;;3;1;0;0;1;;;;2;5
57001;Accumoli;59;4;3;0;0;;;;7;0;2;0;1;;;;3;10
57001;Accumoli;60;1;1;0;0;;;;2;0;0;0;0;;;;0;2
57001;Accumoli;61;1;5;0;0;;;;6;1;9;2;1;;;;13;19
57001;Accumoli;62;2;3;0;0;;;;5;0;3;0;0;;;;3;8
57001;Accumoli;63;1;5;0;0;;;;6;1;1;0;0;;;;2;8
57001;Accumoli;64;1;3;0;0;;;;4;1;4;0;1;;;;6;10
57001;Accumoli;65;3;3;1;0;;;;7;0;4;0;0;;;;4;11
57001;Accumoli;66;0;4;0;0;;;;4;0;2;0;0;;;;2;6
57001;Accumoli;67;1;1;0;0;;;;2;0;1;0;0;;;;1;3
57001;Accumoli;68;1;3;0;0;;;;4;1;1;0;0;;;;2;6
57001;Accumoli;69;0;2;0;0;;;;2;0;6;0;1;;;;7;9
57001;Accumoli;70;0;3;1;0;;;;4;1;0;0;1;;;;2;6
57001;Accumoli;71;1;1;0;0;;;;2;0;3;0;0;;;;3;5
57001;Accumoli;72;1;5;0;0;;;;6;1;2;0;2;;;;5;11
57001;Accumoli;73;0;5;0;0;;;;5;0;1;0;0;;;;1;6
57001;Accumoli;74;0;0;1;1;;;;2;1;2;0;2;;;;5;7
57001;Accumoli;75;1;3;0;2;;;;6;0;1;1;1;;;;3;9
57001;Accumoli;76;0;4;0;0;;;;4;0;2;0;0;;;;2;6
57001;Accumoli;77;0;2;0;0;;;;2;0;2;0;0;;;;2;4
57001;Accumoli;78;1;1;1;2;;;;5;0;4;0;3;;;;7;12
57001;Accumoli;79;0;3;1;0;;;;4;0;1;0;1;;;;2;6
57001;Accumoli;80;0;1;0;0;;;;1;0;0;0;2;;;;2;3
57001;Accumoli;81;0;2;0;1;;;;3;0;0;0;2;;;;2;5
57001;Accumoli;82;0;1;0;0;;;;1;0;0;0;0;;;;0;1
57001;Accumoli;83;1;1;0;1;;;;3;0;0;0;1;;;;1;4
57001;Accumoli;84;0;3;1;0;;;;4;0;1;0;2;;;;3;7
57001;Accumoli;85;0;3;0;0;;;;3;0;0;0;2;;;;2;5
57001;Accumoli;86;0;1;0;0;;;;1;0;2;0;3;;;;5;6
57001;Accumoli;87;1;0;0;0;;;;1;0;0;0;3;;;;3;4
57001;Accumoli;88;0;1;0;0;;;;1;0;0;0;3;;;;3;4
57001;Accumoli;89;0;0;0;0;;;;0;0;1;0;1;;;;2;2
57001;Accumoli;90;0;0;0;0;;;;0;0;0;0;0;;;;0;0
57001;Accumoli;91;0;0;0;0;;;;0;0;0;0;1;;;;1;1
57001;Accumoli;92;1;0;0;0;;;;1;0;0;0;2;;;;2;3
57001;Accumoli;93;0;0;0;0;;;;0;0;2;0;0;;;;2;2
57001;Accumoli;94;0;0;0;0;;;;0;0;0;0;0;;;;0;0
57001;Accumoli;95;0;0;0;0;;;;0;0;0;0;2;;;;2;2
57001;Accumoli;96;0;0;0;1;;;;1;0;0;0;0;;;;0;1
57001;Accumoli;97;0;0;0;0;;;;0;0;0;0;0;;;;0;0
57001;Accumoli;98;0;0;0;0;;;;0;0;0;0;0;;;;0;0
57001;Accumoli;99;0;0;0;0;;;;0;0;0;0;0;;;;0;0
57001;Accumoli;100;0;1;0;0;;;;1;0;0;0;0;;;;0;1
57001;Accumoli;999;135;112;11;8;;;;266;84;103;9;41;;;;237;503
57002;Amatrice;0;6;0;0;0;;;;6;5;0;0;0;;;;5;11
57002;Amatrice;1;6;0;0;0;;;;6;9;0;0;0;;;;9;15
57002;Amatrice;2;1;0;0;0;;;;1;8;0;0;0;;;;8;9
57002;Amatrice;3;11;0;0;0;;;;11;6;0;0;0;;;;6;17
57002;Amatrice;4;8;0;0;0;;;;8;7;0;0;0;;;;7;15
