Popolazione residente per età, sesso e stato civile al 1° gennaio 2025;;;;;;;;;;;;;;;;;;;
Codice comune;Comune;Età;Celibi;Coniugati;Divorziati;Vedovi;Uniti civilmente;Maschi già in unione civile (per scioglimento unione);Maschi già in unione civile (per decesso del partner);Totale maschi;Nubili;Coniugate;Divorziate;Vedove;Unite civilmente;Femmine già in unione civile (per scioglimento unione);Femmine già in unione civile (per decesso del partner);Totale femmine;Totale
58001;Affile;0;1;0;0;0;;;;1;3;0;0;0;;;;3;4
58001;Affile;1;2;0;0;0;;;;2;3;0;0;0;;;;3;5
58001;Affile;2;3;0;0;0;;;;3;9;0;0;0;;;;9;12
58001;Affile;3;5;0;0;0;;;;5;4;0;0;0;;;;4;9
58001;Affile;4;2;0;0;0;;;;2;4;0;0;0;;;;4;6
58001;Affile;5;3;0;0;0;;;;3;9;0;0;0;;;;9;12
58001;Affile;6;6;0;0;0;;;;6;7;0;0;0;;;;7;13
58001;Affile;7;9;0;0;0;;;;9;3;0;0;0;;;;3;12
58001;Affile;8;5;0;0;0;;;;5;6;0;0;0;;;;6;11
58001;Affile;9;8;0;0;0;;;;8;6;0;0;0;;;;6;14
58001;Affile;10;5;0;0;0;;;;5;3;0;0;0;;;;3;8
58001;Affile;11;6;0;0;0;;;;6;4;0;0;0;;;;4;10
58001;Affile;12;5;0;0;0;;;;5;5;0;0;0;;;;5;10
58001;Affile;13;4;0;0;0;;;;4;6;0;0;0;;;;6;10
58001;Affile;14;3;0;0;0;;;;3;6;0;0;0;;;;6;9
58001;Affile;15;5;0;0;0;;;;5;8;0;0;0;;;;8;13
58001;Affile;16;5;0;0;0;;;;5;7;0;0;0;;;;7;12
58001;Affile;17;9;0;0;0;;;;9;3;0;0;0;;;;3;12
58001;Affile;18;5;0;0;0;;;;5;4;0;0;0;;;;4;9
58001;Affile;19;5;0;0;0;;;;5;7;0;0;0;;;;7;12
58001;Affile;20;5;0;0;0;;;;5;6;0;0;0;;;;6;11
58001;Affile;21;8;0;0;0;;;;8;8;0;0;0;;;;8;16
58001;Affile;22;5;0;0;0;;;;5;3;0;0;0;;;;3;8
58001;Affile;23;7;0;0;0;;;;7;4;0;0;0;;;;4;11
58001;Affile;24;5;1;0;0;;;;6;6;0;0;0;;;;6;12
58001;Affile;25;7;0;0;0;;;;7;7;0;0;0;;;;7;14
58001;Affile;26;4;0;0;0;;;;4;6;0;0;0;;;;6;10
58001;Affile;27;7;0;0;0;;;;7;14;0;0;0;;;;14;21
58001;Affile;28;9;0;0;0;;;;9;10;1;0;0;;;;11;20
58001;Affile;29;6;0;0;0;;;;6;4;0;0;0;;;;4;10
58001;Affile;30;5;0;0;0;;;;5;6;0;0;0;;;;6;11
58001;Affile;31;8;1;0;0;;;;9;9;1;0;0;;;;10;19
58001;Affile;32;17;0;1;0;;;;18;2;3;0;0;;;;5;23
58001;Affile;33;9;3;0;0;;;;12;6;3;0;0;;;;9;21
58001;Affile;34;7;1;0;0;;;;8;2;0;0;0;;;;2;10
58001;Affile;35;8;3;0;0;;;;11;6;2;0;0;;;;8;19
58001;Affile;36;7;2;0;0;;;;9;4;2;0;0;;;;6;15
