Popolazione residente per età, sesso e stato civile al 1° gennaio 2025;;;;;;;;;;;;;;;;;;;
Codice comune;Comune;Età;Celibi;Coniugati;Divorziati;Vedovi;Uniti civilmente;Maschi già in unione civile (per scioglimento unione);Maschi già in unione civile (per decesso del partner);Totale maschi;Nubili;Coniugate;Divorziate;Vedove;Unite civilmente;Femmine già in unione civile (per scioglimento unione);Femmine già in unione civile (per decesso del partner);Totale femmine;Totale
59001;Aprilia;0;252;0;0;0;0;0;0;252;253;0;0;0;0;0;0;253;505
59001;Aprilia;1;281;0;0;0;0;0;0;281;237;0;0;0;0;0;0;237;518
59001;Aprilia;2;272;0;0;0;0;0;0;272;262;0;0;0;0;0;0;262;534
59001;Aprilia;3;330;0;0;0;0;0;0;330;321;0;0;0;0;0;0;321;651
59001;Aprilia;4;319;0;0;0;0;0;0;319;271;0;0;0;0;0;0;271;590
59001;Aprilia;5;326;0;0;0;0;0;0;326;306;0;0;0;0;0;0;306;632
59001;Aprilia;6;353;0;0;0;0;0;0;353;338;0;0;0;0;0;0;338;691
59001;Aprilia;7;360;0;0;0;0;0;0;360;372;0;0;0;0;0;0;372;732
59001;Aprilia;8;383;0;0;0;0;0;0;383;349;0;0;0;0;0;0;349;732
59001;Aprilia;9;329;0;0;0;0;0;0;329;340;0;0;0;0;0;0;340;669
59001;Aprilia;10;342;0;0;0;0;0;0;342;357;0;0;0;0;0;0;357;699
59001;Aprilia;11;342;0;0;0;0;0;0;342;375;0;0;0;0;0;0;375;717
59001;Aprilia;12;406;0;0;0;0;0;0;406;355;0;0;0;0;0;0;355;761
59001;Aprilia;13;431;0;0;0;0;0;0;431;409;0;0;0;0;0;0;409;840
59001;Aprilia;14;419;0;0;0;0;0;0;419;427;0;0;0;0;0;0;427;846
59001;Aprilia;15;391;0;0;0;0;0;0;391;399;0;0;0;0;0;0;399;790
59001;Aprilia;16;421;0;0;0;0;0;0;421;392;0;0;0;0;0;0;392;813
59001;Aprilia;17;417;0;0;0;0;0;0;417;423;0;0;0;0;0;0;423;840
