Popolazione residente per età, sesso e stato civile al 1° gennaio 2025;;;;;;;;;;;;;;;;;;;
Codice comune;Comune;Età;Celibi;Coniugati;Divorziati;Vedovi;Uniti civilmente;Maschi già in unione civile (per scioglimento unione);Maschi già in unione civile (per decesso del partner);Totale maschi;Nubili;Coniugate;Divorziate;Vedove;Unite civilmente;Femmine già in unione civile (per scioglimento unione);Femmine già in unione civile (per decesso del partner);Totale femmine;Totale
60001;Acquafondata;0;0;0;0;0;;;;0;0;0;0;0;;;;0;0
60001;Acquafondata;1;1;0;0;0;;;;1;1;0;0;0;;;;1;2
60001;Acquafondata;2;0;0;0;0;;;;0;0;0;0;0;;;;0;0
60001;Acquafondata;3;1;0;0;0;;;;1;0;0;0;0;;;;0;1
60001;Acquafondata;4;0;0;0;0;;;;0;1;0;0;0;;;;1;1
60001;Acquafondata;5;0;0;0;0;;;;0;0;0;0;0;;;;0;0
60001;Acquafondata;6;0;0;0;0;;;;0;1;0;0;0;;;;1;1
60001;Acquafondata;7;0;0;0;0;;;;0;1;0;0;0;;;;1;1
60001;Acquafondata;8;1;0;0;0;;;;1;2;0;0;0;;;;2;3
60001;Acquafondata;9;1;0;0;0;;;;1;1;0;0;0;;;;1;2
60001;Acquafondata;10;0;0;0;0;;;;0;1;0;0;0;;;;1;1
60001;Acquafondata;11;0;0;0;0;;;;0;1;0;0;0;;;;1;1
60001;Acquafondata;12;0;0;0;0;;;;0;1;0;0;0;;;;1;1
60001;Acquafondata;13;0;0;0;0;;;;0;1;0;0;0;;;;1;1
60001;Acquafondata;14;1;0;0;0;;;;1;0;0;0;0;;;;0;1
60001;Acquafondata;15;0;0;0;0;;;;0;0;0;0;0;;;;0;0
60001;Acquafondata;16;0;0;0;0;;;;0;0;0;0;0;;;;0;0
60001;Acquafondata;17;1;0;0;0;;;;1;1;0;0;0;;;;1;2
60001;Acquafondata;18;0;0;0;0;;;;0;1;0;0;0;;;;1;1
60001;Acquafondata;19;0;0;0;0;;;;0;0;0;0;0;;;;0;0
60001;Acquafondata;20;0;0;0;0;;;;0;1;0;0;0;;;;1;1
60001;Acquafondata;21;3;0;0;0;;;;3;0;0;0;0;;;;0;3
