Id;Nome;Squadra;Ruolo;Qt.I;Qt.A;Tier
5876;Di Gregorio;Juventus;P;16;17;Top
2428;Sommer;Inter;P;16;16;Top
4312;Maignan;Milan;P;16;16;Top
572;Meret;Napoli;P;16;16;Top
5841;Svilar;Roma;P;15;16;Top
4431;Carnesecchi;Atalanta;P;14;14;Top
2521;De Gea;Fiorentina;P;14;14;Top
2814;Provedel;Lazio;P;12;12;Semi-top
133;Skorupski;Bologna;P;10;11;Titolari
6966;Butez;Como;P;10;11;Titolari
188;Leali;Genoa;P;8;9;Titolari
4360;Caprile;Cagliari;P;7;8;Titolari
7179;Israel;Torino;P;9;8;Titolari
2134;Falcone;Lecce;P;6;7;Scommesse
6641;Suzuki;Parma;P;7;7;Titolari
761;Audero;Cremonese;P;5;6;Scommesse
4867;Turati;Sassuolo;P;7;6;Titolari
6462;Okoye;Udinese;P;6;5;Scommesse
6842;Sava;Udinese;P;4;5;Scommesse
2170;Milinkovic-Savic V.;Napoli;P;4;4;Scommesse
2861;Semper;Pisa;P;3;4;Scommesse
4957;Montipò;Verona;P;5;4;Scommesse
2722;Ravaglia F.;Bologna;P;3;3;Scommesse
6482;Mandas;Lazio;P;3;3;Scommesse
574;Scuffet;Pisa;P;3;3;Scommesse
4236;Muric;Sassuolo;P;3;3;Scommesse
5116;Martinez Jo.;Inter;P;2;2;Scommesse
2297;Rossi F.;Atalanta;P;1;1;Scommesse
4;Sportiello;Atalanta;P;1;1;Scommesse
7172;Pessina Mas.;Bologna;P;1;1;Scommesse
4929;Ciocci;Cagliari;P;1;1;Scommesse
3;Radunovic;Cagliari;P;1;1;Scommesse
2809;Vigorito;Como;P;1;1;Scommesse
6505;Nava;Cremonese;P;1;1;Scommesse
6184;Martinelli T.;Fiorentina;P;1;1;Scommesse
6991;Siegrist;Genoa;P;1;1;Scommesse
219;Sommariva;Genoa;P;1;1;Scommesse
1926;Di Gennaro;Inter;P;1;1;Scommesse
218;Perin;Juventus;P;1;1;Scommesse
1930;Pinsoglio;Juventus;P;1;1;Scommesse
6417;Furlanetto;Lazio;P;1;1;Scommesse
2401;Fruchtl;Lecce;P;1;1;Scommesse
6523;Samooja;Lecce;P;1;1;Scommesse
2815;Terracciano;Milan;P;1;1;Scommesse
6813;Torriani;Milan;P;1;1;Scommesse
2845;Contini;Napoli;P;1;1;Scommesse
6662;Corvi;Parma;P;1;1;Scommesse
5338;Rinaldi;Parma;P;1;1;Scommesse
2271;Nicolas;Pisa;P;1;1;Scommesse
7169;Zelezny;Roma;P;1;1;Scommesse
610;Gollini;Roma;P;1;1;Scommesse
2127;Satalino;Sassuolo;P;1;1;Scommesse
5320;Paleari;Torino;P;1;1;Scommesse
6210;Popa;Torino;P;1;1;Scommesse
543;Padelli;Udinese;P;1;1;Scommesse
511;Perilli;Verona;P;1;1;Scommesse
6125;Vasquez D.;Roma;P;1;1;Scommesse
7185;Nunziante;Udinese;P;1;1;Scommesse
158;Lezzerini;Fiorentina;P;1;1;Scommesse
2211;Silvestri;Cremonese;P;1;1;Scommesse
7236;Toniolo;Verona;P;1;1;Scommesse
7261;Cavlina;Como;P;1;1;Scommesse
5513;Dumfries;Inter;D;20;21;Top
254;Dimarco;Inter;D;19;19;Top
2160;Gosens;Fiorentina;D;18;18;Top
2120;Bastoni;Inter;D;16;17;Top
4433;Zortea;Bologna;D;16;16;Top
4772;Angelino;Roma;D;15;15;Top
7181;Wesley;Roma;D;14;15;Top
5520;Cambiaso;Juventus;D;15;14;Top
2816;Di Lorenzo;Napoli;D;14;14;Top
