Id;R;RM;Nome;Squadra;Qt.A;Qt.I;Diff.;Qt.A M;Qt.I M;Diff.M;FVM;FVM M
5876;P;Por;Di Gregorio;Juventus;17;16;1;17;16;1;87;87
2428;P;Por;Sommer;Inter;16;16;0;16;16;0;86;86
4312;P;Por;Maignan;Milan;16;16;0;16;16;0;79;79
572;P;Por;Meret;Napoli;16;16;0;16;16;0;95;95
5841;P;Por;Svilar;Roma;16;15;1;16;15;1;85;85
4431;P;Por;Carnesecchi;Atalanta;14;14;0;14;14;0;66;66
2521;P;Por;De Gea;Fiorentina;14;14;0;14;14;0;64;64
2814;P;Por;Provedel;Lazio;12;12;0;12;12;0;55;55
133;P;Por;Skorupski;Bologna;11;10;1;11;10;1;50;50
6966;P;Por;Butez;Como;11;10;1;11;10;1;34;34
188;P;Por;Leali;Genoa;9;8;1;9;8;1;30;30
4360;P;Por;Caprile;Cagliari;8;7;1;8;7;1;19;19
7179;P;Por;Israel;Torino;8;9;-1;8;9;-1;33;33
2134;P;Por;Falcone;Lecce;7;6;1;7;6;1;18;18
6641;P;Por;Suzuki;Parma;7;7;0;7;7;0;14;14
761;P;Por;Audero;Cremonese;6;5;1;6;5;1;13;13
4867;P;Por;Turati;Sassuolo;6;7;-1;6;7;-1;7;7
6462;P;Por;Okoye;Udinese;5;6;-1;5;6;-1;15;15
6842;P;Por;Sava;Udinese;5;4;1;5;4;1;11;11
2170;P;Por;Milinkovic-Savic V.;Napoli;4;4;0;4;4;0;9;9
2861;P;Por;Semper;Pisa;4;3;1;4;3;1;12;12
4957;P;Por;Montipò;Verona;4;5;-1;4;5;-1;10;10
2722;P;Por;Ravaglia F.;Bologna;3;3;0;3;3;0;5;5
6482;P;Por;Mandas;Lazio;3;3;0;3;3;0;3;3
574;P;Por;Scuffet;Pisa;3;3;0;3;3;0;3;3
4236;P;Por;Muric;Sassuolo;3;3;0;3;3;0;7;7
5116;P;Por;Martinez Jo.;Inter;2;2;0;2;2;0;3;3
2297;P;Por;Rossi F.;Atalanta;1;1;0;1;1;0;1;1
4;P;Por;Sportiello;Atalanta;1;1;0;1;1;0;1;1
7172;P;Por;Pessina Mas.;Bologna;1;1;0;1;1;0;1;1
4929;P;Por;Ciocci;Cagliari;1;1;0;1;1;0;1;1
3;P;Por;Radunovic;Cagliari;1;1;0;1;1;0;1;1
2809;P;Por;Vigorito;Como;1;1;0;1;1;0;1;1
6505;P;Por;Nava;Cremonese;1;1;0;1;1;0;1;1
6184;P;Por;Martinelli T.;Fiorentina;1;1;0;1;1;0;1;1
6991;P;Por;Siegrist;Genoa;1;1;0;1;1;0;1;1
219;P;Por;Sommariva;Genoa;1;1;0;1;1;0;1;1
1926;P;Por;Di Gennaro;Inter;1;1;0;1;1;0;1;1
218;P;Por;Perin;Juventus;1;1;0;1;1;0;1;1
1930;P;Por;Pinsoglio;Juventus;1;1;0;1;1;0;1;1
6417;P;Por;Furlanetto;Lazio;1;1;0;1;1;0;1;1
2401;P;Por;Fruchtl;Lecce;1;1;0;1;1;0;1;1
6523;P;Por;Samooja;Lecce;1;1;0;1;1;0;1;1
2815;P;Por;Terracciano;Milan;1;1;0;1;1;0;1;1
6813;P;Por;Torriani;Milan;1;1;0;1;1;0;1;1
2845;P;Por;Contini;Napoli;1;1;0;1;1;0;1;1
6662;P;Por;Corvi;Parma;1;1;0;1;1;0;1;1
5338;P;Por;Rinaldi;Parma;1;1;0;1;1;0;1;1
2271;P;Por;Nicolas;Pisa;1;1;0;1;1;0;1;1
7169;P;Por;Zelezny;Roma;1;1;0;1;1;0;1;1
610;P;Por;Gollini;Roma;1;1;0;1;1;0;1;1
2127;P;Por;Satalino;Sassuolo;1;1;0;1;1;0;1;1
5320;P;Por;Paleari;Torino;1;1;0;1;1;0;1;1
6210;P;Por;Popa;Torino;1;1;0;1;1;0;1;1
543;P;Por;Padelli;Udinese;1;1;0;1;1;0;1;1
511;P;Por;Perilli;Verona;1;1;0;1;1;0;1;1
6125;P;Por;Vasquez D.;Roma;1;1;0;1;1;0;1;1
7185;P;Por;Nunziante;Udinese;1;1;0;1;1;0;1;1
158;P;Por;Lezzerini;Fiorentina;1;1;0;1;1;0;1;1
2211;P;Por;Silvestri;Cremonese;1;1;0;1;1;0;1;1
7236;P;Por;Toniolo;Verona;1;1;0;1;1;0;1;1
7261;P;Por;Cavlina;Como;1;1;0;1;1;0;1;1
5513;D;E;Dumfries;Inter;21;20;1;20;19;1;107;107
254;D;E;Dimarco;Inter;19;19;0;18;18;0;94;94
2160;D;E;Gosens;Fiorentina;18;18;0;17;17;0;83;83
2120;D;Dc;Bastoni;Inter;17;16;1;17;16;1;76;76
4433;D;E;Zortea;Bologna;16;16;0;15;15;0;40;24
4772;D;E;Angelino;Roma;15;15;0;14;14;0;52;52
7181;D;E;Wesley;Roma;15;14;1;14;13;1;52;52
5520;D;E;Cambiaso;Juventus;14;15;-1;13;14;-1;56;56
2816;D;"Dd;E";Di Lorenzo;Napoli;14;14;0;14;14;0;53;53
